actorid,address,amount,city,country,lastupdateactor,replacementcost,lastnameactor,customerid,inventoryid,length,rentduration,custompayment,districtaddess,lastnamecustom,countrycustomer
1,395-535 Cras Road,2.99,A Corua (La Corua),Afghanistan,43:22.1,20.99,AKROYD,1,1,86,6,1,Alberta,ABNEY,Germany
10,"Ap #744-9372 Est, St.",0.99,Abha,Algeria,52:55.0,12.99,AKROYD,2,1,48,3,1,QLD,ADAM,Mexico
20,7993 Aenean Avenue,5.99,Abu Dhabi,American Samoa,54:44.8,18.99,AKROYD,3,1,50,7,1,Alberta,ADAMS,Mexico
30,"P.O. Box 472, 9757 Neque Av.",0.99,Acua,Angola,44:06.7,26.99,ALLEN,5,2,117,5,1,QLD,ALEXANDER,UK
40,Ap #858-3265 Nunc Street,9.99,Adana,Anguilla,52:04.6,22.99,ALLEN,7,2,130,6,1,Nagasaki,ALLARD,Sweden
53,Ap #659-8308 Donec Rd.,4.99,Addis Abeba,Argentina,41:00.9,17.99,ALLEN,10,2,169,3,1,California,ALLEN,Germany
108,347-5941 Tellus Street,4.99,Aden,Armenia,57:58.8,28.99,ASTAIRE,12,2,62,6,1,Attika,ALVAREZ,France
162,"8914 Dui, Street",0.99,Adoni,Australia,53:02.4,15.99,BACALL,15,2,54,6,1,Mandalay,ANDERSON,Spain
188,6675 Integer Rd.,3.99,Ahmadnagar,Austria,50:11.7,21.99,BAILEY,17,3,114,3,1,Nantou,ANDREW,France
198,881-3723 Ut Rd.,5.99,Akishima,Azerbaijan,57:44.9,24.99,BAILEY,19,3,63,6,1,Texas,ANDREWS,Canada
19,467-6168 Aenean Street,5.99,Akron,Bahrain,48:14.8,16.99,BALE,21,4,126,6,1,Central Serbia,AQUINO,UK
85,1336 Senectus Street,4.99,al-Ayn,Bangladesh,57:59.2,22.99,BALL,22,4,136,6,1,Hamilton,ARCE,Argentina
90,Ap #683-3583 Ut Rd.,4.99,al-Hawiya,Belarus,54:35.6,21.99,BARRYMORE,25,6,150,4,1,Masqat,ARCHULETA,Mexico
160,Ap #641-9050 Imperdiet St.,7.99,al-Manama,Bolivia,33:28.1,23.99,BASINGER,28,6,94,6,1,Esfahan,ARMSTRONG,Switzerland
2,"9528 Ac, Road",2.99,al-Qadarif,Brazil,38:54.2,10.99,BENING,30,6,46,5,1,Kanagawa,ARNOLD,Brazil
19,Ap #349-2118 Lacus Rd.,4.99,al-Qatif,Brunei,44:40.2,23.99,BENING,32,6,180,6,1,Haryana,ARSENAULT,UK
24,Ap #762-4335 Mollis. St.,4.99,Alessandria,Bulgaria,39:31.1,14.99,BERGEN,37,6,82,3,1,Osmaniye,ARTIS,Germany
64,"P.O. Box 783, 4006 Accumsan St.",0.99,Allappuzha (Alleppey),Cambodia,33:40.5,27.99,BERGMAN,38,7,57,6,1,California,ASHCRAFT,France
123,"P.O. Box 544, 6335 Auctor Av.",0.99,Allende,Cameroon,48:11.8,20.99,BERRY,39,7,113,6,1,Madhya Pradesh,ASHER,UK
41,Ap #977-4786 Malesuada Av.,2.99,Almirante Brown,Canada,45:15.8,23.99,BERRY,41,7,79,4,1,England,AUSTIN,Austria
81,"644-6764 Nec, Av.",2.99,Alvorada,Chad,49:43.7,17.99,BERRY,44,7,129,3,1,Kalmykia,BAILEY,Brazil
88,989-7242 Nulla. Road,4.99,Ambattur,Chile,51:43.6,10.99,BIRCH,45,8,85,6,1,Kaduna,BAKER,Spain
147,775 Ac St.,3.99,Amersfoort,China,33:41.9,9.99,BLOOM,47,8,92,3,1,Northern Cape,BALES,France
162,9473 Quisque Street,0.99,Amroha,Colombia,52:14.3,19.99,BOLGER,48,9,181,6,1,Nothwest Border Prov,BANDA,Sweden
51,378-6261 Pharetra. Ave,4.99,Angra dos Reis,"Congo, The Democratic Republic of the",53:35.9,15.99,BOLGER,50,9,74,3,1,Dhaka,BANKS,Germany
